age_group	FLUA_test_result	country	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26	2023-09-02
0-4	Pos	Brazil	0.3888888889	0.3548664944	0.1991701245	0.1105626851	0.0590277778	0.0177514793	0.0065502183	0.0018450185	0.0045941807	0.0000000000	0.0000000000	0.0019011407	0.0016977929	0.0016025641	0.0018975332	0.0035211268	0.0065681445	0.0032154341	0.0047095761	0.0025252525	0.0013586957	0.0050251256	0.0051085568	0.0036014406	0.0030303030	0.0059880240	0.0092735703	0.0213740458	0.0123239437	0.0159453303	0.0151133501	0.0058823529	0.0208877285	0.0177865613	0.0182186235	0.0423011844	0.0622462788	0.1430084746	0.2014035088	0.2020860495	0.2220183486	0.1787204451	0.1370078740	0.0725738397	0.0633879781	0.0519357885	0.0301204819	0.0288683603	0.0301204819	0.0246045694	0.0167224080	0.0141129032	0.0184615385	0.0148698885	0.0165975104	0.0235294118	0.0276816609	0.0116279070	0.0074906367	0.0124223602	0.0250896057	0.0266429840	0.0382513661	0.0180722892	0.0405156538	0.0394173093	0.0629370629	0.0633187773	0.0823529412	0.0950369588	0.0937500000	0.0796178344	0.0890957447	0.1042600897	0.0757575758	0.1020689655	0.0792079208	0.0789915966	0.0653495441	0.0355029586	0.0372960373	0.0253521127	0.0228136882	0.0246478873	0.0041666667	0.0133333333	0.0139860140	
19-29	Pos	Brazil		0.1925305860	0.1163227017	0.0819990296	0.0462914256	0.0196905767	0.0114285714	0.0132890365	0.0089285714	0.0042553191	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0147058824	0.0144927536	0.0259740260	0.0421052632	0.0101010101	0.0588235294	0.0329670330	0.0729166667	0.0659340659	0.0707070707	0.1250000000	0.0377358491					0.0588235294	0.1730769231	0.1764705882	0.1578947368	0.2440944882	0.2650602410	0.2236024845	0.3147208122	0.1369863014	0.1165644172	0.1304347826	0.0728476821	0.0451977401	0.0102040816	0.0252100840	0.0480769231	0.0857142857	0.0649350649	0.0581395349	0.0350877193	0.0468750000	0.0847457627	0.0175438596		0.0410958904	0.0400000000	0.0659340659	0.0303030303	0.0738255034	0.0241935484	0.0550458716	0.0454545455	0.1014492754	0.0789473684	0.0890410959	0.1290322581	0.0759493671	0.1071428571	0.0751445087	0.1250000000	0.1085714286	0.1242236025	0.1194968553	0.1257861635	0.0967741935	0.0655737705	0.1181818182	0.0344827586	0.0540540541	0.0666666667	0.0144927536	0.0000000000	0.0158730159	0.0000000000	
29-39	Pos	Brazil	0.3030303030	0.1628709455	0.0911161731	0.0721847931	0.0316322227	0.0152409046	0.0120481928	0.0059241706	0.0070422535	0.0146520147	0.0026666667	0.0104166667	0.0079365079	0.0080645161	0.0000000000	0.0000000000	0.0222222222	0.0080000000	0.0487804878	0.0137931034	0.0061349693	0.0328638498	0.0093457944	0.0264317181	0.0245098039	0.0646766169	0.0676691729	0.0689655172	0.0480000000	0.0229885057	0.0125000000	0.0609756098	0.0909090909	0.0153846154	0.0428571429	0.1408450704	0.1811023622	0.2328042328	0.2709923664	0.2765273312	0.2803468208	0.1748251748	0.1937984496	0.1433962264	0.0837438424	0.0670553936	0.0707070707	0.0533333333	0.0434782609	0.0614525140	0.0559006211	0.0315789474	0.0000000000	0.0563380282	0.0789473684	0.0270270270	0.0281690141	0.0603448276	0.0359712230	0.0381679389	0.0685714286	0.0814479638	0.0976744186	0.0851063830	0.0675105485	0.1358885017	0.1056910569	0.1378091873	0.1941391941	0.1556291391	0.2099125364	0.1436170213	0.1588235294	0.1561712846	0.1516853933	0.1500000000	0.1221122112	0.1433691756	0.1296296296	0.1074380165	0.0434782609	0.0574712644	0.0300751880	0.0254237288	0.0119047619	0.0090909091	0.0054644809	
39-49	Pos	Brazil	0.2923076923	0.1376903553	0.0846560847	0.0574608222	0.0357320099	0.0119658120	0.0027002700	0.0090634441	0.0067415730	0.0049261084	0.0168350168	0.0150753769	0.0103092784	0.0000000000	0.0186915888	0.0000000000	0.0098039216	0.0179640719	0.0194805195	0.0000000000	0.0048780488	0.0257352941	0.0176678445	0.0257352941	0.0425531915	0.0282485876	0.0451977401	0.0303030303	0.0508474576	0.0410958904	0.0581395349	0.0461538462	0.0410958904	0.0777777778	0.1415094340	0.1078431373	0.2211538462	0.2382445141	0.2850779510	0.3131749460	0.2686567164	0.2269938650	0.1355932203	0.2000000000	0.1037344398	0.0565610860	0.0360360360	0.0618556701	0.0591133005	0.0613496933	0.0750000000	0.0328947368	0.1028037383	0.0769230769	0.1237113402	0.0645161290	0.1149425287	0.0854700855	0.0927152318	0.0625000000	0.0812182741	0.0373443983	0.1013215859	0.0990566038	0.1250000000	0.1003584229	0.1794871795	0.1314878893	0.1788079470	0.1804123711	0.2058111380	0.1901408451	0.1875000000	0.1995661605	0.1980198020	0.1972972973	0.1356932153	0.1676470588	0.0990099010	0.1050583658	0.0555555556	0.0666666667	0.0522388060	0.0472972973	0.0603448276	0.0317460317	0.0304568528	
4-9	Pos	Brazil	0.5638297872	0.4526967286	0.2416666667	0.1552795031	0.1158301158	0.0328947368	0.0266272189	0.0111420613	0.0052083333	0.0132158590	0.0168067227	0.0000000000	0.0037453184	0.0064516129	0.0132450331	0.0167785235	0.0042372881	0.0121457490	0.0150375940	0.0094637224	0.0167597765	0.0526315789	0.0592991914	0.0623145401	0.0557620818	0.0507246377	0.0793650794	0.0749063670	0.0725388601	0.0326086957	0.0705128205	0.0400000000	0.0240963855	0.0938775510	0.1445312500	0.2526997840	0.3624454148	0.4875886525	0.5526436782	0.5509908168	0.5060975610	0.4185328185	0.2982456140	0.2497149373	0.1930147059	0.1487730061	0.0891304348	0.0831643002	0.0878787879	0.0868055556	0.0520000000	0.0459183673	0.0714285714	0.0470588235	0.0649350649	0.0800000000	0.0795454545	0.1024096386	0.0750750751	0.0730088496	0.0935483871	0.1677018634	0.1281464531	0.1225680934	0.1382823872	0.1864864865	0.1722319859	0.2095588235	0.2523020258	0.2442244224	0.2794612795	0.2282608696	0.2562396007	0.2474074074	0.2337662338	0.2785862786	0.1896103896	0.2005208333	0.1361256545	0.1410256410	0.0828025478	0.0538461538	0.0700000000	0.0360360360	0.0000000000	0.0230769231	0.0230769231	
49-59	Pos	Brazil		0.1015531661	0.0592105263	0.0638641876	0.0329289428	0.0079443893	0.0044776119	0.0025188917	0.0040000000	0.0000000000	0.0204081633	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000	0.0000000000	0.0000000000	0.0099009901	0.0086956522	0.0131578947	0.0058139535	0.0159574468	0.0431034483	0.0000000000	0.0108695652	0.0000000000	0.0298507463	0.0357142857	0.0363636364			0.0000000000	0.0149253731	0.0377358491	0.1267605634	0.2416666667	0.2322580645	0.1893491124	0.2266666667	0.1484375000	0.1221374046	0.1024096386	0.0819672131	0.0304347826	0.0413223140	0.0595238095	0.0272727273	0.0568181818	0.0526315789	0.0519480519	0.0166666667	0.0000000000		0.0434782609		0.0517241379	0.1044776119	0.0000000000	0.0816326531	0.0924369748	0.1355932203	0.0820895522	0.0985915493	0.1142857143	0.1538461538	0.1716417910	0.1783439490	0.2110552764	0.2358974359	0.1822916667	0.1472081218	0.2042253521	0.1798245614	0.1502590674	0.1525423729	0.1524390244	0.0891719745	0.0833333333	0.0725806452	0.0625000000	0.0568181818	0.0294117647	0.0422535211	0.0273972603	0.0095238095	
59-69	Pos	Brazil		0.1231884058	0.1060070671	0.0666666667	0.0357142857	0.0070298770	0.0069930070	0.0041152263	0.0000000000	0.0113636364	0.0075757576	0.0000000000	0.0151515152	0.0000000000	0.0000000000			0.0000000000	0.0000000000	0.0357142857	0.0099009901	0.0104166667	0.0390625000	0.0070921986	0.0206185567	0.0188679245	0.0090090090	0.0273972603	0.0138888889	0.0350877193	0.0000000000				0.0555555556		0.1029411765	0.1444444444	0.2417582418	0.1764705882	0.1718750000	0.1521739130	0.0843373494	0.1142857143	0.0421052632	0.0210526316	0.0098039216	0.0000000000	0.0560747664	0.0119047619	0.0307692308	0.0000000000	0.0454545455	0.0317460317	0.0757575758	0.0243902439				0.0704225352	0.0256410256	0.0000000000	0.0561797753	0.0493827160	0.0495049505	0.0625000000	0.1047619048	0.1214953271	0.1452991453	0.1440000000	0.1290322581	0.1382978723	0.1739130435	0.1165048544	0.1333333333	0.0827586207	0.0758620690	0.0827067669	0.0967741935	0.0909090909	0.0458015267	0.0188679245	0.0337078652	0.0337078652	0.0000000000	0.0000000000	0.0252100840	
69-79	Pos	Brazil		0.1583011583	0.1365638767	0.0787172012	0.0276073620	0.0200000000	0.0126050420	0.0069444444	0.0075757576	0.0000000000	0.0104166667	0.0000000000		0.0178571429				0.0000000000	0.0147058824	0.0142857143	0.0000000000	0.0133333333	0.0230769231	0.0096153846	0.0000000000	0.0116279070	0.0285714286	0.0363636364	0.0298507463	0.0175438596					0.0000000000		0.1060606061	0.1084337349	0.1875000000	0.2696629213	0.1727272727	0.1714285714	0.0617283951	0.0941176471	0.0470588235	0.0063694268	0.0000000000	0.0236220472	0.0375000000	0.0125000000	0.0000000000	0.0384615385	0.0147058824	0.0175438596	0.0169491525	0.0000000000		0.0476190476	0.0000000000	0.0235294118	0.0147058824	0.0227272727	0.0333333333	0.0298507463	0.1043478261	0.1075268817	0.0555555556	0.0673076923	0.1296296296	0.0820895522	0.1360000000	0.1655172414	0.1603773585	0.0666666667	0.1653543307	0.0661157025	0.0902255639	0.1404958678	0.0977443609	0.0862068966	0.0480769231	0.0103092784	0.0674157303	0.0119047619	0.0000000000	0.0000000000	0.0000000000	
80+	Pos	Brazil		0.1261261261	0.0977011494	0.0754257908	0.0258620690	0.0047169811	0.0132450331	0.0000000000	0.0000000000	0.0000000000	0.0000000000			0.0000000000			0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0162601626	0.0000000000	0.0291262136	0.0000000000	0.0000000000	0.0344827586	0.0428571429	0.0128205128	0.0000000000	0.0000000000				0.0322580645	0.0307692308	0.0109890110	0.0754716981	0.1298701299	0.1368421053	0.0952380952	0.1595744681	0.0722891566	0.0526315789	0.0434782609	0.0214285714	0.0000000000	0.0263157895	0.0000000000	0.0128205128	0.0000000000	0.0138888889	0.0111111111	0.0253164557	0.0312500000	0.0153846154	0.0151515152	0.0000000000	0.0428571429	0.0000000000	0.0366972477	0.0107526882	0.0202020202	0.0125000000	0.0120481928	0.0686274510	0.0857142857	0.0508474576	0.0952380952	0.1200000000	0.1015625000	0.0687022901	0.0642857143	0.1292517007	0.0689655172	0.0652173913	0.0849673203	0.0384615385	0.0152671756	0.0086206897	0.0158730159	0.0487804878	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	
9-19	Pos	Brazil	0.4392523364	0.3076043453	0.1796116505	0.1139386929	0.0673400673	0.0154838710	0.0240549828	0.0099255583	0.0148883375	0.0101522843	0.0066889632	0.0043859649	0.0000000000	0.0038167939	0.0091324201	0.0063291139	0.0220588235	0.0167597765	0.0209424084	0.0181818182	0.0395683453	0.0546623794	0.0445859873	0.0955882353	0.1219512195	0.1269841270	0.2500000000	0.1968503937	0.2040816327	0.2967032967	0.2403100775	0.1186440678	0.1240310078	0.2022471910	0.3422222222	0.4921875000	0.6351758794	0.6011602611	0.6074398249	0.5793103448	0.5220930233	0.4398148148	0.3433813893	0.2886435331	0.2190669371	0.1535893155	0.1521739130	0.1020408163	0.0684210526	0.0769230769	0.0707964602	0.0943396226	0.0289855072	0.1818181818	0.1739130435	0.0823529412	0.1571428571	0.1515151515	0.1363636364	0.0904645477	0.1020408163	0.1288135593	0.1591511936	0.1775700935	0.1605584642	0.1556240370	0.2084210526	0.1931540342	0.2441314554	0.2647058824	0.3260000000	0.2815356490	0.2640000000	0.2409812410	0.2695035461	0.2887473461	0.1658536585	0.2189973615	0.2196721311	0.1005586592	0.1678832117	0.0550458716	0.0752688172	0.0342465753	0.0729927007	0.0196078431	0.0394088670	
